fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 094117	-0.550217697262997	2226	1088	4	5	9496000	1
20220408 094232	-0.637319271682645	3027	345	12	5	9722000	2
20220408 094329	-0.177510901240748	4950	1816	15	5	8658000	3
20220408 094429	-0.335816924397659	6406	677	11	5	8890000	4
20220408 094557	-0.110559586003364	6998	165	15	5	8524000	5
20220408 094617	-0.389178626766079	5883	1479	3	5	8581000	6
20220408 094726	-0.939688128523994	5191	480	19	5	8958000	7
20220408 094839	-0.302813536542817	2766	951	18	5	9844000	8
20220408 094950	-0.888027745050204	3750	91	9	5	8772000	9
20220408 095046	-0.0411361675505758	4004	804	8	5	9445000	10
20220408 095112	0.065480123726593	7083	1549	20	5	0	11
20220408 095158	-0.852212589081319	7970	1690	5	5	8180000	12
20220408 095257	-0.899260349594988	95	31	6	5	9363000	13
20220408 095352	-0.113671646255534	6752	1822	10	5	8630000	14
20220408 095510	-0.410319923528004	5297	631	20	5	8958000	15
20220408 095609	-0.609299707127502	3382	1314	16	5	9345000	16
20220408 095649	-0.147019971072542	1397	695	5	5	10009000	17
20220408 095716	-0.0746739529718075	1138	568	3	5	8914000	18
20220408 095810	-0.193166284884792	1740	870	10	5	10276000	19
20220408 095952	-0.531219762925769	5	1	17	5	8289000	20
20220408 100038	-0.158293429004752	4037	843	8	5	9467000	21
20220408 100137	-0.452952712409615	1597	779	15	5	9755000	22
20220408 100220	-0.367895549947958	3977	1988	10	5	8550000	23
20220408 100320	-0.137732815973602	4323	569	15	5	9427000	24
20220408 100431	-0.237555900123845	305	150	12	5	7706000	25
20220408 100538	-0.774728175307873	2282	1139	12	5	9118000	26
20220408 100636	-0.510447414583743	1974	674	7	5	10055000	27
20220408 100731	-0.128371075377034	2328	1164	11	5	9400000	28
20220408 100929	-0.475805164565666	3123	305	20	5	9509000	29
20220408 101106	-0.0239873461285219	1768	883	7	5	10279000	30
20220408 101155	-0.98318099936132	1522	761	6	5	9870000	31
20220408 101306	-0.360151425664833	3107	776	14	5	9882000	32
20220408 101530	-0.0373365059975225	5488	1	12	5	8887000	33
20220408 101617	0.0999014910654953	1638	772	9	5	0	34
20220408 101656	-0.492239579532581	7994	1020	3	5	8180000	35
20220408 101728	-0.680079513960796	2237	1110	3	5	8798000	36
20220408 101759	-0.471768096898245	552	275	3	5	8914000	37
20220408 101841	-0.023501089437478	434	211	4	5	9557000	38
20220408 101932	-0.501975350713408	2803	1397	20	5	9165000	39
20220408 102049	-0.182758903823888	1226	610	20	5	9980000	40
20220408 102120	-0.958021560894902	3894	1945	3	5	8416000	41
20220408 102146	-0.970365490166795	16	2	3	5	8604000	42
20220408 102240	-0.999748824807486	2046	1020	20	5	9657000	43
20220408 102330	-0.999789208165418	7993	856	8	5	8180000	44
20220408 102422	-0.903801028696929	1853	917	20	5	9894000	45
20220408 102527	-0.833936528816497	829	414	20	5	10676000	46
20220408 102712	-0.805201090960075	22	8	20	5	3438000	47
20220408 102810	-0.528205387604952	1755	553	9	5	10172000	48
20220408 102944	-0.845404427796424	1573	783	20	5	9752000	49
20220408 103116	-0.187110885738048	829	73	13	5	8418000	50
20220408 103148	0.0719051988091258	1774	854	11	5	0	51
20220408 103241	-0.202519871600953	2366	1158	20	5	9344000	52
20220408 103345	-0.835287245626016	2236	400	8	5	10131000	53
20220408 103412	-0.525892572520317	3640	1816	3	5	8434000	54
20220408 103436	-0.755197403709798	5439	1996	3	5	8341000	55
20220408 103516	-0.832562347158561	3574	1489	20	5	9513000	56
20220408 103537	-0.023890605301822	4931	1998	3	5	8341000	57
